,copyrightYear,doi,abstract
10,1952,10.1103/RevModPhys.24.258,"The general formula for the angular distribution in collisions between pairs of particles is simplified by performing explicitly all sums over magnetic quantum numbers. The resulting expressions involve coefficients introduced by Racah for the study of complex atomic spectra. The cross sections are expressed as series in Legendre polynomials, each coefficient in the series being manifestly real.  The general theory is then specialized for the case of nuclear reactions and scattering associated with one isolated resonance level of the compound nucleus. Formulas are derived for the various differential reaction cross sections and for scattering with and without change of channel spin. The interference terms between resonance and potential scattering are written explicitly, both for neutral and for charged particles."
11,1952,10.1103/RevModPhys.24.28,"It is shown that for aluminum absorbers, a single range-energy equation R=412 E01.265-0.0954lnE0 (mg/cm2) will fit the most reliable published values of practical ranges of monoenergetic electrons and the maximum ranges of nuclear beta-rays in the energy region 0.01&lt;~E0&lt;~2.5 Mev. The average deviation of 59 monoenergetic measurements from this equation is +0.08 percent in energy, and -0.05 percent in energy for 35 beta-ray measurements. The mean deviation is 4.1 percent in each case. There are few ranges for energies above 2.5 Mev. All the higher energy values found in the literature and four new measurements on monoenergetic electrons are presented and are shown to be consistent with the range-energy equation R=530 E0-106 (mg/cm2) for E0&gt;~2.5 Mev. It is shown that the curve (dE0dR) is nearly parallel to the theoretical curve for the rate of energy loss by ionization in the region between 0.01 and 20 Mev and is about 25 percent larger. The reason for this discrepancy is not known. All the methods commonly used to determine the ranges of beta-rays from absorption curves are discussed and a new method developed by the authors is presented."
12,1952,10.1103/RevModPhys.24.45,"The Boltzmann theory treatment of electrical discharges in gases has been one of the undeveloped fields in physics. The aim of this paper is to show what type of molecular model makes the mathematical treatment of the problem possible.  The fundamental processes of the molecular kinetic theory of electrical discharges concern the collisions between gas molecules and charged particles such as ions or electrons. The effective cross sections of the molecule for elastic, exciting, and ionizing collisions are the fundamental quantities regarding these phenomena. Two methods are considered, according to how these fundamental quantities are introduced, to establish the molecular kinetic theory.  One method is to adopt a proper molecular model for collision processes. The other method is to adopt the ""exact"" (i.e., observed or quantum-mechanically calculated) values of collision cross sections. This paper concerns itself with the first method, and the principal objective is to attain mathematical simplicity for the theory. The second method is abandoned because the statistical calculation on each step is complicated, and furthermore, the calculation must be achieved separately for each kind of gas. This second method may be adequately adopted after the treatment based on a model is accomplished."
13,1952,10.1103/RevModPhys.24.79,"A survey is given of the absorption of radiation in the energy range from 0.1 Mev to 6 Mev. Results of the theories of Compton effect, photoelectric effect, and pair production are given in the form of equations, tables, and curves. Necessary considerations in studying absorption coefficients are discussed and results of various workers are compared with theory. It is concluded that in this energy range the present theories give values of absorption coefficients which are in good agreement with those obtained experimentally."
14,1953,10.1103/RevModPhys.25.100,"Neutron diffraction measurements are reported on a series of transition elements as an investigation into their magnetic structures. Scattering data have been taken for W, Mo, Nb, V, Cr, Mn, and Fe at various temperatures as low as 4.2K, and these data are interpreted in terms of the magnetic structure existing in the pure metals. For the first four-named elements, no magnetic scattering either coherent or incoherent is found. Cr and -Mn are established as being antiferromagnetic with Nel temperatures of 475K and 100K, respectively. Paramagnetic scattering has been observed in manganese at room temperature, and the atomic moments determined for Cr and Mn follow the general trend of the Slater-Pauling curve. Magnetic superstructure effects and magnetic disorder scattering were looked for in iron and neither was found."
15,1953,10.1103/RevModPhys.25.108,"The saturation moment of ferromagnetic alloys has been considered from the point of view of the collective electron theory. Perturbations in band shape due to the fluctuating lattice potential are considered and are found to be more important in some cases than the simple effects of changing electron density characteristic of the usual treatment of alloys. The influence of order on the moment is treated on the basis of Slater's theory of the relation between the long range order and the energy bands in an alloy. Results of measurements of electronic specific heat and Hall effect are presented which make possible a model capable of explaining the unique effects of the order-disorder transformation in Ni3Mn on this basis. In other alloys, particularly those which do not follow the Slater-Pauling curve or the classical band model, the saturation properties are attributed to the perturbations in the band resulting from the presence in the lattice of ions with different potentials as seen by the itinerant electrons. The screening of the positive Coulombic charge on these ions is accomplished by fluctuations in local electron density of the Fermi gas in some cases and by localized bound states in other cases. The effect on the magnetic properties in these two alternative cases can be explained and correlated with changes in electrical resistivity on alloying. Atomic moments of the constituent atoms for some ordered alloys have been calculated and are in good agreement with the experimental values found by Shull in neutron diffraction experiments."
16,1953,10.1103/RevModPhys.25.114,"The chemical and magnetic structures of zinc ferrite and nickel ferrite have been investigated at room temperature by means of neutron diffraction. In agreement with previous x-ray investigations zinc ferrite has been found to possess a completely regular spinel structure with an oxygen parameter of 0.3850.002. The diffraction peaks show no evidence of coherent magnetic scattering, whereas the background exhibits normal paramagnetic diffuse scattering. This eliminates the possibility of an antiferromagnetic structure at room temperature. In the case of nickel ferrite, calculated intensities based upon an inverted structure and the Nel model of ferrimagnetism are in good agreement with the observed intensities."
17,1953,10.1103/RevModPhys.25.122,"The temperature range of magnetic susceptibility measurements has been extended from 1450C to 1850C. In the range from 25C to the highest temperature measured, the susceptibilities of V, Nb, and Ta decrease with increasing temperature, while the susceptibilities of Mo and W increase. A periodicity in the sign of the temperature coefficient of the magnetic susceptibility of the transition elements is discussed in relation to various theories of metals."
18,1953,10.1103/RevModPhys.25.131,"Present theories of magnetization are based largely on energy formulas. These are incomplete because they rely on a calculation of magnetization work in the absence of strain and of strain work in the absence of magnetization. The present paper summarizes and relates to magnetization theory a calculation, already published elsewhere, in which magnetization and strain are assumed from the start to be present simultaneously; furthermore forces are calculated directly, without use of energy arguments until the properties special materials are considered. An important result is that the separation of the force on part of a body into a ""magnetic"" force and a force derivable from ""stresses"" can be accomplished in more than one way. the theory confirms the traditional results for fluids; but for elastic solids, it yields terms not present in the formulas of the traditional theory. These terms may be important in the magnetization process. For a uniformly magnetized ellipsoid they lead to a nonuniform magnetostriction ""form effect"" with a mean strain equal to the strain calculated by Becker."
19,1953,10.1103/RevModPhys.25.136,"Measurements of the E effect and the decrement made by Bozorth, Mason, and McSkimin and by Johnson and Rogers are compared with that expected from a calculation of domain wall relaxations for a distribution of domain sizes as determined by the optical measurements of Williams and Walker. At low frequencies the agreement is good but at high frequencies a second relaxation region is indicated. It is shown that this region is consistent with a domain rotation relaxation and introducing this effect, a good agreement is obtained between theory and experiment for the entire frequency range."
20,1953,10.1103/RevModPhys.25.140,"A striking connection has been found between the magnetic properties and the ultrasonic attenuation properties of a nickel single crystal. The magnetic anisotropy has been detected by measuring the attenuation as a function of applied field intensity. Information about the vibrations of Bloch walls and the number of vibrating walls per unit length has also been obtained. The dependence of the attenuation on magnetic induction for 5-100 mc shear and longitudinal waves propagated in the [110] direction was the same for B parallel to both the [111] and [001] directions. The shear modes induce much greater losses than the longitudinal mode.  Similar measurements on a 3.8 percent Si-Fe crystal showed that the walls in this alloy are not as easily vibrated, i.e., there is a small difference in attenuation between the magnetized and unmagnetized states. At these frequencies this indicates that there is a direct connection between the magnetostrictive constants and the dynamic behavior of Bloch walls.  The elastic constants were computed from velocity measurements, but no E effect was observed.  Pulsed ultrasonic techniques as described by Roderick and Truell (see reference 4) were used in taking the measurements. The single crystals used were grown from the melt in a hydrogen atmosphere and then oriented so that pure modes of vibration could be propagated."
21,1953,10.1103/RevModPhys.25.146,"This paper discusses investigations into the detailed changes in domain structure of ferromagnetic material under externally applied stress. The changes in the domain pattern of grain-oriented silicon steel with large grain size were observed and photographed while the specimen was stressed in tension.  Experiments in which the grain under observation had the {110} plane in the surface of the specimen and the 110 direction parallel to the specimen axis, along which tension was applied, are discussed in detail. At a load of approximately 0.2 kg/mm2 the original domain pattern vanishes. After a transition stage in which, over a certain range of loads, no pattern is visible at all, a new stress-induced domain pattern appears. The behavior of these patterns in horizontal and vertical magnetic fields was studied, and an interpretation of both the transition stage and the stress-induced pattern is given. In these experiments the applied stresses are all within the elastic range of the material. In the plastic range, the knowledge of the stress-induced pattern permits the detection of residual lattice strains in suitably oriented materials."
22,1953,10.1103/RevModPhys.25.151,"Experimental results are reviewed for Fe, Co, Ni, the Co-Ni and Ni-Cu alloy series. Most of the measurements were made at room temperature. In the case of Ni, data are available from about 10K to 800K.  In every case studied, the Hall emf consists of a sum of two terms. The first term is proportional to the magnetizing field and has been called the ordinary Hall effect. Its order of magnitude and sensitivity to variations in temperature and in composition are comparable with the Hall effect in nonferromagnetic metals. The second term is proportional to the magnetization and has been called the extraordinary Hall effect.  At room temperature, the extraordinary effect is usually much larger than the ordinary effect. Large changes in the extraordinary effect may be produced by variations in temperature or composition.  In the theory of the ordinary effect, a representation is employed in which conduction may take place in both the s- and d-bands. This theory appears to be moderately successful in interpreting the experimental data.  Various proposals that have been advanced to account for the extraordinary effect are considered briefly. We consider that a satisfactory physical basis for this phenomenon has not yet been established."
23,1953,10.1103/RevModPhys.25.167,"The paramagnetic properties (in particular the resonance data) of the rare earth ethyl sulfates are considered in the light of a theory in which each ion is assumed to be in a static electric field of C3h symmetry. It is found that this is consistent with the observations in cerium ethyl sulfate, and it is possible to solve that problem to find the magnitude of the interaction of this field with an ion. It is then shown that similar fields give good agreement with the observations in other salts."
24,1953,10.1103/RevModPhys.25.17,"A brief description is given of the method used by Bates and his co-workers which permits the measurement of the thermal changes which accompany the step-by-step magnetization of ferromagnetic metals. The method has now been used to examine the behavior of 0.5 and 4 percent silicon iron in the untreated and annealed states when magnetized along the virgin curve and in cycles with fields up to 380 oersteds. In this work, some twenty copper-constantan thermocouples generate currents when a magnetic field acting on the ferromagnetic specimen is changed, and these are transmitted ballistically via a toroidal Mu Metal transformer to a highly sensitive moving coil galvanometer of long period. As the thermal changes in the present work were very small, a new technique had to be developed to deal with them. The measured thermal changes are plotted as functions both of the intensity of magnetization and of the effective magnetic field. The several errors and experimental difficulties, including asymmetry in thermal readings, stray induction effects, heating due to eddy currents, and thermal and electromagnetic disturbances experienced during the measurements are briefly discussed, and the methods used to overcome them are briefly outlined.  The results are examined in the light of current domain theory and a theoretical procedure developed by Stoner and Rhodes, in which the thermal contribution resulting from change in intrinsic magnetization, often described as the magnetocaloric effect, is substracted from the recorded thermal change, and the residue is considered in detail. Another procedure recently applied to results for nickel was also examined, but it was found inapplicable to the silicon iron data. An unusual depression or dip is found in the curves of thermal change plotted as a function of the applied field when the region of low field values is reached upon reducing the field from the maximum used in describing a hysteresis cycle. This observation provides evidence in support of Kittel's theory of flux closure which Bozorth has used to explain the low remanence of such alloys which exhibit little magnetostriction and magnetic anisotropy and small internal strain. It is suggested that the strange depression may be correlated with some peculiar domain boundaries recorded by the Bitter powder technique on the (100) surface of a single crystal of silicon iron when it is demagnetized either thermally or in the above manner. These boundaries ""wriggle"" in an extraordinary manner which suggests that they separate regions either of flux closure in opposite directions or domains whose magnetization vectors meet head-on."
25,1953,10.1103/RevModPhys.25.170,"The molar specific heat CI of neodymium ethyl sulfate has been measured on three samples of separated neodymium isotopes in the temperature range 0.95K-2.15K by the magnetic method of Benzie and Cooke at frequencies from 300 to 1200 cps. The measured CI may be described within 1 percent by CI=bT2, where T is the temperature and b is the constant. All three samples were shown by x-ray diffraction measurements to have the same structure as that given for neodymium ethyl sulfate by Ketelaar. For the electron contribution to the specific heat we obtained be=0.1460.004105, and for the hyperfine splitting contributions we obtained b143=5.080.05105 and b145=1.70.2105 erg degree. These values of b143 and b145 agree within experimental error with the corresponding values computed from the microwave measurements of Scovil. Thus, the hyperfine splitting contribution to the specific heat for Nd143 (C2H5SO4)39H2O is some 35 times larger than the electron contribution which makes this material of interest for the study of nuclear effects below 1K."
26,1953,10.1103/RevModPhys.25.174,"Following a suggestion by A. Kastler, an attempt has been made to produce a high degree of nuclear orientation in Hg199 vapor by the absorption of circularly polarized resonance radiation. A method is described for detecting the nuclear orientation by observing the intensity of the -component of the resonance radiation. No indication of orientation was found. The probable cause for this failure is considered to be the imprisonment and consequent depolarization of the effective component of the resonance radiation."
27,1953,10.1103/RevModPhys.25.178,"Bromine, even in small quantities, is known to alter very radically properties of graphite such as conductivity, Hall effect, and others. In particular, the relatively large diamagnetic susceptibility of graphite is rapidly decreased by addition of bromine and the effect cannot be explained by assuming presence of bromine in either molecular or atomic form. It appears that this effect can be interpreted in terms of the Brillouin zone structure of graphite. Using Peierls' theory of diamagnetism of free electrons in a solid and Wallace's results concerning the band structure of graphite an expression is derived which relates the change in the magnetic susceptibility to the change in the number of electrons in the Brillouin zones. The theory is in good agreement with experiment if the effectiveness of bromine in accepting electrons is assumed to be that obtained from Hall effect and conductivity data. The probable influence of lattice imperfections is briefly considered."
28,1953,10.1103/RevModPhys.25.182,"The magnet is an air core and water-cooled massive Helmholtz type with rectangular cross section. It consists of a field coil 10 cm in mean radius which can produce 35 000 oersteds at a power of 1700 kw with a uniformity of about 10 ppm at the center within a region of 10 percent of the mean radius, and a gradient coil 5.2 cm in mean radius which can produce a gradient of 100 oersteds per cm at a power of 2.5 kw with a uniformity of about 140 ppm within the same region. The fields and gradients are separately controlled."
29,1953,10.1103/RevModPhys.25.191,"THIS symposium consisted of a round-table discussion on exchange forces in ferromagnetics, and began with the presentation of invited papers by C. Zener, J. C. Slater, E. P. Wohlfarth (read by E. C. Stoner), and J. H. Van Vleck. A lengthy but lively discussion period, partly with the audience participating, followed the invited papers. It is unfortunately not possible to reproduce here the discussions, but R. Smoluchowski has been kind enough to prepare a brief summary and reconciliation of the invited papers: his discussion follows here after the papers."
30,1953,10.1103/RevModPhys.25.199,"Two rival methods of handling molecular problems, the Heitler-London and the molecular orbital methods, have been used for many years, and they have their counterparts in magnetism in the Heisenberg and the energy-band methods. The first part of this paper shows that the Heitler-London and Heisenberg methods, as usually applied, are not appropriate for problems containing more than a few electrons. The reason is the lack of orthogonality of the one-electron orbitals of atomic type. This involves the presence of overlap integrals which, if included in the calculation, make the method essentially divergent and unsuitable for numerical calculation if the product of the number of electrons in the system, times an overlap integral between nearest neighbors, is large compared to unity, which in practice confines the application to problems of a few electrons. Most applications of the method, including all applications of the Heisenberg method to ferromagnetism and antiferromagnetism, disregard many integrals which are not as a matter of fact negligible, and for this reason cannot be regarded as valid.  Van Vleck many years ago tried to overcome this difficulty, but his results are only partially satisfactory on account of lack of generality. The straightforward way to overcome it is to use really orthogonal one-electron orbitals, either molecular orbitals or Wannier functions, and the remainder of the paper considers how the familiar facts of ferromagnetism are to be explained on this basis. If we use a single determinantal wave function composed of energy-band orbitals, we have the familiar energy-band or collective electron theory of ferromagnetism. This simple method may well be fairly accurate at small internuclear distances; it predicts correctly that ferromagnetism must be impossible when the atoms are close enough together to broaden the energy bands greatly. For large internuclear distances, however, it leads to quite wrong limiting behavior, since it gives a wave function involving a considerable contribution of ionic states. To eliminate these ionic states, at large internuclear distances, we must make linear combinations of different determinantal functions, corresponding to different assignments of electrons to orbitals. The results of such a calculation are sketched.  To treat magnetic problems properly, we must make such calculations for different total spins, calculate the energy of the states of different magnetizations as a function of internuclear distance, and see which states lie lower, the magnetic or nonmagnetic. At infinite separation, the energy will be independent of total magnetization, since in this limit the spins of different atoms can be oriented in any arbitrary way without affecting the energy. At very small distances, the elementary band theory shows that the nonmagnetic state must lie below the magnetized state, so that ferromagnetism is impossible. At intermediate distances, the elementary theory can show only that ferromagnetism is possible, not that it is necessary; to find whether it actually exists, we should really have to carry out a calculation of the type described. If we find ferromagnetism, we shall necessarily find that the energy difference between nonferromagnetic and ferromagnetic states was zero at infinite internuclear distance, increased as the internuclear distance decreased, went through a maximum, and then went to zero and changed sign. This behavior is often postulated for the Heisenberg exchange integral, although we do not feel that this integral has the direct theoretical meaning often ascribed to it.  These problems are closely related to the correlation energy, which is discussed. We do not feel that the familiar Wigner-Seitz calculation of correlation energy is very accurate; the correlation energy is in fact a function of magnetization, decreasing numerically with decreasing internuclear distance, and its interpretation cannot be given properly except by considering its intimate connection with magnetization. The net result of the present discussion is that to give a proper account of ferromagnetism, we are forced to use orthogonal orbitals and, therefore, must make close connection with the band theory. We must, however, carry our theory further than has usually been done, though the prediction of the elementary band theory, i.e., that ferromagnetism is impossible for broad bands and can exist only for narrow bands and electronic wave functions which overlap only slightly, is verified by the present more accurate approach.  As an illustration of the general method of calculating magnetic energies described in this paper, we may mention the recent calculation of Meckler, not yet published, on the oxygen molecule. This has been carried out by setting up many determinantal wave functions formed from orthogonal atomic orbitals made out of the original nonorthogonal orbitals. The secular equations involving these determinantal functions were solved by use of a digital computer. The resulting energy levels and wave functions reduce to the proper type to represent the P3 ground state of the oxygen atom at infinite internuclear distance. Meckler's energy for the triplet ground state is very accurate; that for the next singlet excited state is quite good. The energy separation between singlet and triplet shows the behavior expected for the energy difference between a ferromagnetic and nonferromagnetic state, being zero at infinite distance, then increasing, going to a maximum, then decreasing again. As far as the writer is aware, this is the first time when such a behavior has been found as a result of straightforward calculation from quantum mechanics."
31,1953,10.1103/RevModPhys.25.2,"By an analysis of a magnetization curve is meant the determination of the character and extent of the various elementary changes occurring over any part of the curve. Even if the quantitative characteristics of the various elementary processes are known, an analysis cannot in general be made simply on the basis of the information provided by a given magnetization curve, owing to the varied and complicated way in which the different processes are superposed with an ordinary polycrystalline specimen. Further information is obtainable from measurements such as those of Bates on the thermal changes accompanying adiabatic magnetization, but little progress can be made in the analysis of curves in the hysteresis range unless the magnetic and thermal effects due to the reversible and irreversible changes separately can be unambiguously determined.  A broad survey of the general problem is given with particular reference to recent theoretical and experimental work at Leeds. The theoretical approach and the methods of analysis are along the same lines as in the treatment of the magnetocaloric effect by Stoner and Rhodes (1949). The experimental work reviewed includes studies of the reversible susceptibility, the Barkhausen effect, and the reversible change of magnetization with temperature at constant field (Tebble, with Corner, Newhouse, Skidmore, Wood, and others, 1948 onwards).  Through this work, it is now possible to determine not only the relative contributions from reversible and irreversible processes to the change of magnetization over any range but also the thermal changes associated with each. The part of the reversible change due to change in intrinsic magnetization can be determined, and in many cases analysis will show whether the remainder of the reversible change is mainly due to rotation of the magnetization against the crystalline and strain anisotropy forces, or to other processes such as boundary movements. Much detailed information about irreversible processes is obtained from determinations of the number-size relations of Barkhausen discontinuities, which in general correspond not to spontaneous movements of primary domain walls as wholes, but to smaller scale sectional irregularities in the motion. The thermal effect associated with these irreversible processes may be a heating or a cooling.  Partial analyses are presented for annealed nickel, hard-drawn iron, and other materials. These show clearly the potentiality of the general method for obtaining detailed quantitative information about the elementary processes contributing to the change of magnetization along a magnetization curve."
32,1953,10.1103/RevModPhys.25.211,"This paper is intended to supplement the review articles published by Stoner in 1948 and 1951, firstly by considering in greater detail the quantum-mechanical and statistical-mechanical foundations of the collective electron theory and secondly by considering briefly a wider range of relevant experimental results.  In Sec. 1 previous theoretical work is recalled. In Sec. 2 the difficulties of a rigorous quantum mechanical derivation of the internal energy of a ferromagnetic metal at absolute zero are outlined. In order to determine at least the form of the expressions, a calculation based on the tight binding approximation is described for a crystal containing N singly charged ions, which are fairly widely separated, and N electrons. The forms of the Coulomb and exchange contributions to the energy are discussed in the two instances of maximum and minimum multiplicity. The need for a correlation correction is stressed, and the effects of this correction are discussed with special reference to the state of affairs at infinite ionic separation. The fundamental difficulties involved in calculating the energy as function of magnetization are considered below; it is shown that they are probably less serious for tightly bound than for free electrons, so that the approximation of neglecting them in the first instance is not too unreasonable. The dependence of the exchange energy on the relative magnetization  is then of the form nAn2n2n, and the relative orders of magnitude of A1 and A2 are considered. A previous calculation by Slater is critically reviewed.  In an application of statistical mechanics the difficulty arises that only if =1or0 will the zero-order wave function be in general a single Slater determinant. A calculation by Lidiard on this problem, that of spin degeneracy, is referred to. The relevance of the dependence of the interaction energies on wave vector is stressed. If these energy contributions are constant, then the free energy expression is that derived by Stoner, based on Fermi-Dirac statistics, even if spin degeneracy is taken into account. Several related difficulties are exemplified by a discussion of the properties of the free-electron gas, for which the exchange energy varies rapidly with wave vector ki, kj when |ki-kj|0. For tightly bound electrons the dependence on wave vector is much less rapid, and it is suggested that spin degeneracy effects are here less serious. A simple calculation of the low temperature electronic heat of tightly bound electrons, including exchange and correlation, is referred to in exemplification.  In Sec. 3 several experimental results are briefly discussed, including the following: (1) The variation with composition of the Curie temperature and saturation magnetization, and the variation with temperature of the susceptibility of nickel alloys; (2) the variation with temperature of the magnetization, electronic heat, and magnetocaloric effect of cubic cobalt, nickel, and nickel alloys below the Curie point; (3) the high temperature electronic heat of nickel and palladium; (4) the electronic properties of chromium and some other transition metals; (5) the electronic properties of palladium and its alloys."
33,1953,10.1103/RevModPhys.25.229,The microwave resonance absorption in gadolinium metal has been measured at 9000 and 24 000 Mc/sec. The g value in the paramagnetic region is found to be 1.950.03. In the ferromagnetic region extreme line breadth prevents accurate determination of the g value. Calculations neglecting effects of line breadth give a ferromagnetic g value of 1.94.
